2,3-        	       	                          	smallest
free        	       	notating                  	flacco  	      	Scala  	Scala
class       	       	comma                     	subset  	N2D3P9	archive	archive
name        	N2D3P9 	classes                   	indices 	rank  	rank   	occurrences
{1}₂,₃      	  1.000	 (|//|)     '/|           	0, 5    	1     	1      	7624
{5}₂,₃      	  1.389	    '|       /|           	5, 1    	2     	2      	5371
{7}₂,₃      	  2.722	     |)     '/|)          	1, 5    	3     	3      	3016
{25}₂,₃     	  3.472	   ./|      //|           	5, 1    	4     	4      	1610
{7/5}₂,₃    	  4.537	     |(      '|)          	1, 5    	5     	5      	1318
{11}₂,₃     	  6.722	   .(|(      /|\          	5, 1    	6     	6      	1002
{35}₂,₃     	  6.806	    .|)   `.//|       /|) 	5, 6, 1 	7     	7      	875
{125}₂,₃    	  8.681	  .//|      `/|)          	5, 6    	8     	8      	492
{13}₂,₃     	  9.389	   ,.|)     ,/|)          	6, 6    	9     	10     	447
{49}₂,₃     	  9.528	    ~|)     (/|           	4, 4    	10    	9      	463
{11/5}₂,₃   	 11.204	    (|(     ./|\          	2, 5    	11    	11     	339
{25/7}₂,₃   	 11.343	    '|(     ,,|~          	5, 6    	12    	14     	312
{13/5}₂,₃   	 15.648	 ``//|     )//|           	6, 4    	13    	16     	205
{11/7}₂,₃   	 15.685	    )|(      (|           	2, 2    	14    	12     	324
{49/5}₂,₃   	 15.880	   )/|\                   	4       	15    	15     	246
{17}₂,₃     	 16.056	    ~|       ~|(          	4, 2    	16    	13     	318
{55}₂,₃     	 16.806	     |\     '/|\          	2, 5    	17    	24     	119
{175}₂,₃    	 17.014	  `//|    `)//|           	6, 6    	18    	17     	168
{19}₂,₃     	 20.056	    )|       )|~          	4, 4    	19    	18     	166
{625}₂,₃    	 21.701	    `|)    `'/|)          	6, 6    	20    	21     	143
{13/7}₂,₃   	 21.907	  ,,(|(                   	6       	21    	20     	145
{65}₂,₃     	 23.472	    ,|)    ,'/|)          	6, 6    	22    	50     	40
{77}₂,₃     	 23.528	   `.|)                   	6       	23    	25     	111
{245}₂,₃    	 23.819	   ,~|(     '~|)          	6, 5    	24    	19     	165
{49/25}₂,₃  	 26.466	   '(|                    	5       	25    	23     	134
{17/5}₂,₃   	 26.759	   .~|(     `~|)          	5, 6    	26    	26     	108
{25/11}₂,₃  	 28.009	                          	        	27    	47     	42
{125/7}₂,₃  	 28.356	  ,,~|(                   	6       	28    	33     	62
{23}₂,₃     	 29.389	     |~      ~|\          	3, 4    	29    	22     	136
{91}₂,₃     	 32.861	   `'|      ,/|           	6, 6    	30    	57     	30
{343}₂,₃    	 33.347	   ,~|                    	6       	31    	31     	70
{19/5}₂,₃   	 33.426	   .)|      )/|           	5, 3    	32    	27     	97
{13/11}₂,₃  	 34.426	   ,,|(     ``|)          	6, 6    	33    	29     	89
{121}₂,₃    	 36.972	                          	        	34    	42.5   	46
{17/7}₂,₃   	 37.463	 ``~~|    ,,//|           	6, 6    	35    	40     	50
{25/13}₂,₃  	 39.120	  ``/|    ,)//|           	6, 6    	36    	52.5   	34
{35/11}₂,₃  	 39.213	   ')|(                   	5       	38    	28     	92
{55/7}₂,₃   	 39.213	   .(|                    	5       	38    	34     	61
{77/5}₂,₃   	 39.213	 ,,)/|                    	6       	38    	35.5   	55
{85}₂,₃     	 40.139	   .~|                    	5       	40    	78     	20
{275}₂,₃    	 42.014	   `)|(                   	6       	41    	147    	7
{875}₂,₃    	 42.535	   `/|                    	6       	42    	76     	21
{29}₂,₃     	 46.722	                          	        	43    	32     	67
{19/7}₂,₃   	 46.796	    )|)                   	4       	44    	37.5   	52
{23/5}₂,₃   	 48.981	    /|~    ,,/|\          	3, 6    	45    	44     	45
{95}₂,₃     	 50.139	                          	        	46    	72     	23
{143}₂,₃    	 51.639	   )~|                    	4       	47    	66     	26
